dtReference,idVendedor,qtdPedidos,qtdDias,qtdItens,qtdRecencia,avgTicket,avgValorProduto,maxValorProduto,minValorProduto,avgProdutoPedido,maxVlPedido,minVlPedido,LTV,qtdDiasBase,avgIntervaloVendas
2018-01-01,7a91bf945c6fae0779f1c61ce97fe45c,5,4,5,41.081064814701676,159.9,159.9,169.9,129.9,1,169.9,129.9,799.5,901,30.960460069356486
2018-01-01,7aa4334be125fcdd2ba64b3180029f14,192,100,212,19.38562500011176,75.60624999999986,68.47358490566025,134.99,25.27,1,212.91,25.27,16234.809999999961,901,0.17138237485325142
2018-01-01,7b07b3c7487f0ea825fc6df75abd658b,37,30,39,11.388877314981073,86.02621621621623,81.61461538461539,187.43,12.0,1,187.43,12.0,6418.489999999999,901,3.196195570563243
2018-01-01,7b0df942f46435babab05d49b744b2c4,13,11,13,11.1799305556342,814.7361538461538,814.7361538461538,1288.72,283.02,1,1288.72,283.02,19074.1,901,11.293470293244658
2018-01-01,7b1222c3624aa89b9558b50a2594188c,13,13,13,13.55239583319053,504.15846153846144,504.15846153846144,799.9,179.99,1,799.9,179.99,8329.019999999999,901,13.296224922834275
2018-01-01,7b3447b497e55af8c15fc7bd89d7b81a,1,1,1,44.17135416669771,49.9,49.9,49.9,49.9,1,49.9,49.9,49.9,901,
2018-01-01,7b3f6ce5c6c22e9b96e7581ebf0df6e1,1,1,1,22.203148148022592,29.8,29.8,29.8,29.8,1,29.8,29.8,29.8,901,
2018-01-01,7bac63f6603d382cc8d0832eb6c100a8,3,3,3,26.20767361111939,424.3233333333333,424.3233333333333,799.99,33.99,1,799.99,33.99,1272.97,901,15.139033564832062
2018-01-01,7bcd7c5f8631701474db233ccf1c094b,1,1,1,126.2556944442913,39.0,39.0,39.0,39.0,1,39.0,39.0,666.0,901,
2018-01-01,7c1fea10b5b006671d608b1d7c446ec4,6,6,6,4.25671296287328,23.233333333333334,23.233333333333334,29.9,19.9,1,29.9,19.9,139.4,901,16.113756944425404
2018-01-01,7c4618c82226628831613e95e9c22f44,1,1,1,17.546585648320615,29.99,29.99,29.99,29.99,1,29.99,29.99,29.99,901,
2018-01-01,7c67e1448b00f6e969d365cea6b010ab,317,130,435,18.423101851716638,202.52369085173476,147.58622988505726,401.34,39.99,1,1879.9,39.99,95176.99000000079,901,-0.1606648162015697
2018-01-01,7cb946b1ad19faebe28c3e86c2794ec3,1,1,1,45.12401620391756,25.0,25.0,25.0,25.0,1,25.0,25.0,25.0,901,
2018-01-01,7d456afc660226829370f3173d14520c,6,6,9,15.268483796156943,207.0583333333333,138.0388888888889,200.0,26.0,1,360.0,101.45,1663.2500000000002,901,18.85282552090939
2018-01-01,7d76b645482be4a332374e8223836592,93,62,100,16.9884027778171,23.213655913978517,21.58870000000002,34.9,12.89,1,59.8,12.89,2158.870000000002,901,0.8576432291641444
2018-01-01,7d948535954aaf8c5d39db007f74372e,3,3,3,119.39059027796611,48.333333333333336,48.333333333333336,49.0,47.0,1,49.0,47.0,145.0,901,30.853431713068858
2018-01-01,7dc8c42cc750eeafea6c85712ffee9bf,11,9,15,27.999594907276332,238.81454545454545,175.13066666666666,699.99,89.0,1,699.99,89.0,3965.8999999999987,901,13.250255681786008
2018-01-01,7ddcbb64b5bc1ef36ca8c151f6ec77df,236,108,245,0.29434027755632997,157.06165254237325,151.2920408163269,1004.99,25.99,1,1004.99,25.99,37066.55000000009,901,0.05571580078710011
2018-01-01,7e1fb0a3ebfb01ffb3a7dae98bf3238d,42,36,46,2.678067129570991,167.60904761904763,153.03434782608696,364.0,66.0,1,364.0,66.0,11928.529999999999,901,3.0431278935443102
