dtReference,idVendedor,qtde_boleto,qtde_credit_card,qtde_debit_card,qtde_voucher,valor_boleto,valor_credit_card,valor_debit_card,valor_voucher,proporcao_qtde_boleto,proporcao_qtde_credit_card,proporcao_qtde_debit_card,proporcao_qtde_voucher,proporcao_valor_boleto,proporcao_valor_credit_card,proporcao_valor_debit_card,proporcao_valor_voucher,avgQtdParcelas,MaxQtdParcelas,MinQtdParcelas
2018-01-01,0e44d110fa6a54e121cb2c095a77762f,2,3,0,1,197.69,38.419999999999995,0.0,14.79,0,0,0,0,0.7879234754882424,0.15312873654842565,0.0,0.058947787963332006,1.3333333333333333,2.0,1.0
2018-01-01,0e982cff76cc0579f632cea8a0e38c9d,1,1,0,0,331.66,399.16,0.0,0.0,0,0,0,0,0.4538189978380449,0.5461810021619551,0.0,0.0,2.0,2.0,2.0
2018-01-01,0ea22c1cfbdc755f86b9b54b39c16043,21,46,0,7,1206.62,3366.9400000000014,0.0,449.85999999999996,0,0,0,0,0.2401989083134597,0.6702485557647978,0.0,0.08955253592174253,2.9347826086956523,14.0,1.0
2018-01-01,0eaa7e33d73809f1f925f7d07c506cbd,1,4,0,0,141.11,514.1999999999999,0.0,0.0,0,0,0,0,0.21533320108040474,0.7846667989195952,0.0,0.0,5.75,10.0,1.0
2018-01-01,0ebd97a106433a45a4aebe57c1799778,1,11,0,1,84.05,1587.65,0.0,79.9,0,0,0,0,0.04798469970312856,0.906399862982416,0.0,0.04561543731445535,4.181818181818182,10.0,1.0
2018-01-01,0ed6ce5d87fd9c69eaacaeb778d67235,2,7,0,0,181.58999999999997,675.47,0.0,0.0,0,0,0,0,0.2118754812965253,0.7881245187034748,0.0,0.0,5.428571428571429,10.0,1.0
2018-01-01,0ef83d7d83ed97cd2a0049ac8be5f88a,0,10,0,0,0.0,1144.34,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,2.5,7.0,1.0
2018-01-01,0ff83046c3fa22efee8ecf291888b191,1,4,0,1,105.71,357.3,0.0,109.92,0,0,0,0,0.18450770600247848,0.6236363953711623,0.0,0.19185589862635927,3.25,10.0,1.0
2018-01-01,10076e5788b8ee532724bcd460baf762,0,6,0,0,0.0,307.69000000000005,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,3.5,7.0,1.0
2018-01-01,10089e9f2fd0c668a8fd4e52e1698888,0,1,0,0,0.0,382.39,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,5.0,5.0,5.0
2018-01-01,1025f0e2d44d7041d6cf58b6550e0bfa,50,178,3,11,8099.869999999997,33601.560000000005,454.58,586.8299999999999,0,0,0,0,0.18950238215336174,0.7861330693047069,0.010635231538194467,0.013729317003736764,4.388888888888889,10.0,1.0
2018-01-01,1099a00e0ee3a50935e6c2447ca090c5,0,2,0,0,0.0,645.28,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,4.5,6.0,3.0
2018-01-01,10ff823eda2b032e2c93d17a7d294736,1,3,0,1,98.43,407.91999999999996,0.0,166.34,0,0,0,0,0.14632297194844582,0.6064011654699787,0.0,0.2472758625815755,5.333333333333333,10.0,1.0
2018-01-01,1127b7f2594683f2510f1c2c834a486b,15,44,1,1,834.76,3246.07,26.88,116.74,0,0,0,0,0.19760205470534625,0.7684006201990793,0.006362958491637965,0.027634366603936606,2.7045454545454546,10.0,1.0
2018-01-01,11305281b50fff20ae8bb473f8e11876,2,4,0,0,576.88,851.6600000000001,0.0,0.0,0,0,0,0,0.40382488414745127,0.5961751158525488,0.0,0.0,4.75,10.0,1.0
2018-01-01,113e3a788b935f48aad63e1c41dac1bd,1,16,0,1,24.66,597.14,0.0,7.57,0,0,0,0,0.039182039182039184,0.9487900599011709,0.0,0.012027900916789807,2.1875,6.0,1.0
2018-01-01,116ccb1a1604bc88e4d234a8c23f33de,7,9,1,0,259.54,486.13,32.79,0.0,0,0,0,0,0.3334018446676772,0.6244765305860288,0.04212162474629396,0.0,2.0,3.0,1.0
2018-01-01,119c7f1a00ef43fad0e57604e76a747c,0,1,0,0,0.0,159.14,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,2.0,2.0,2.0
2018-01-01,119d1aef1b4144adba89163f6cd9f5d4,0,3,0,0,0.0,932.0999999999999,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,7.333333333333333,10.0,2.0
2018-01-01,11bfa66332777660bd0640ee84d47006,4,19,0,0,194.47,1622.33,0.0,0.0,0,0,0,0,0.10703985028621753,0.8929601497137825,0.0,0.0,3.263157894736842,8.0,1.0
2018-01-01,11d4c477d09821164bca4f70a2eae031,0,3,0,0,0.0,140.85999999999999,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,2.0,4.0,1.0
2018-01-01,11eac105f3f90a9b87b19c89d91e24f3,0,1,0,0,0.0,147.38,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,5.0,5.0,5.0
2018-01-01,1284de4ae8aa26997e748c851557cf0e,1,1,0,0,349.87,789.04,0.0,0.0,0,0,0,0,0.307197232441545,0.692802767558455,0.0,0.0,3.0,3.0,3.0
